"","de","a","ciudad","tipo","dif"
"1",2019-03-19 07:15:00,2019-03-19 08:15:00,"Europe/Amsterdam","Pilates",60
"2",2019-03-20 17:55:00,2019-03-20 18:09:00,"Europe/Amsterdam","Walking",14
"3",2019-03-20 20:03:00,2019-03-20 20:25:00,"Europe/Amsterdam","Walking",22
"4",2019-03-21 06:45:00,2019-03-21 07:45:00,"Europe/Amsterdam","Pilates",60
"5",2019-03-21 19:57:00,2019-03-21 20:08:00,"Europe/Amsterdam","Walking",11
"6",2019-03-22 07:22:00,2019-03-22 07:41:00,"Europe/Amsterdam","Running",19
"7",2019-03-23 08:23:00,2019-03-23 08:34:00,"Europe/Amsterdam","Running",11
"8",2019-03-23 08:35:00,2019-03-23 08:57:00,"Europe/Amsterdam","Walking",22
"9",2019-04-05 06:06:00,2019-04-05 06:25:00,"Europe/Amsterdam","Running",19
"10",2019-04-05 06:26:00,2019-04-05 06:41:00,"Europe/Amsterdam","Walking",15
"11",2019-04-05 06:49:00,2019-04-05 06:56:00,"Europe/Amsterdam","Running",7
"12",2019-04-06 08:54:00,2019-04-06 09:06:00,"Europe/Amsterdam","Walking",12
"13",2019-04-06 18:00:00,2019-04-06 18:20:00,"Europe/Amsterdam","Cycling",20
"14",2019-04-06 20:58:00,2019-04-06 21:30:00,"Europe/Amsterdam","Dancing",32
"15",2019-04-07 01:00:00,2019-04-07 01:20:00,"Europe/Amsterdam","Cycling",20
"16",2019-04-18 07:34:00,2019-04-18 07:48:00,"Europe/Amsterdam","Running",14
"17",2019-04-18 07:49:00,2019-04-18 08:02:00,"Europe/Amsterdam","Walking",13
"18",2019-04-18 08:09:00,2019-04-18 08:13:00,"Europe/Amsterdam","Running",4
"19",2019-04-18 19:24:00,2019-04-18 19:49:00,"Europe/Amsterdam","Walking",25
"20",2019-04-19 08:16:00,2019-04-19 08:30:00,"Europe/Amsterdam","Running",14
"21",2019-04-19 08:31:00,2019-04-19 08:35:00,"Europe/Amsterdam","Walking",4
"22",2019-04-19 08:43:00,2019-04-19 08:50:00,"Europe/Amsterdam","Running",7
"23",2019-04-19 08:51:00,2019-04-19 09:00:00,"Europe/Amsterdam","Walking",9
"24",2019-04-19 09:01:00,2019-04-19 09:06:00,"Europe/Amsterdam","Running",5
"25",2019-04-19 19:30:00,2019-04-19 19:50:00,"Europe/Amsterdam","Cycling",20
"26",2019-04-20 07:35:00,2019-04-20 07:56:00,"Europe/Amsterdam","Running",21
"27",2019-04-20 08:04:00,2019-04-20 08:21:00,"Europe/Amsterdam","Running",17
"28",2019-05-07 14:03:00,2019-05-07 14:11:00,"Europe/Amsterdam","Walking",8
"29",2019-05-07 19:16:00,2019-05-07 19:36:00,"Europe/Amsterdam","Walking",20
"30",2019-05-15 07:48:00,2019-05-15 08:01:00,"Europe/Amsterdam","Running",13
"31",2019-05-15 08:02:00,2019-05-15 08:15:00,"Europe/Amsterdam","Walking",13
"32",2019-05-18 10:42:00,2019-05-18 10:47:00,"Europe/Amsterdam","Running",5
"33",2019-05-18 10:48:00,2019-05-18 11:00:00,"Europe/Amsterdam","Walking",12
"34",2019-05-19 07:34:00,2019-05-19 07:45:00,"Europe/Amsterdam","Running",11
"35",2019-05-19 07:46:00,2019-05-19 08:05:00,"Europe/Amsterdam","Walking",19
"36",2019-05-20 07:43:00,2019-05-20 08:02:00,"Europe/Amsterdam","Running",19
"37",2019-05-21 08:00:00,2019-05-21 08:08:00,"Europe/Amsterdam","Walking",8
"38",2019-05-22 07:20:00,2019-05-22 07:43:00,"Europe/Amsterdam","Walking",23
"39",2019-05-22 13:40:00,2019-05-22 14:03:00,"Europe/Amsterdam","Walking",23
"40",2019-05-23 08:18:00,2019-05-23 08:44:00,"Europe/Amsterdam","Walking",26
"41",2019-05-23 13:48:00,2019-05-23 14:15:00,"Europe/Amsterdam","Walking",27
"42",2019-05-24 08:03:00,2019-05-24 08:13:00,"Europe/Amsterdam","Running",10
"43",2019-05-24 22:15:00,2019-05-24 22:19:00,"Europe/Amsterdam","Walking",4
"44",2019-05-26 08:33:00,2019-05-26 09:09:00,"Europe/Amsterdam","Walking",36
"45",2019-07-17 18:16:00,2019-07-17 18:24:00,"Europe/Amsterdam","Walking",8
"46",2019-07-17 18:30:00,2019-07-17 18:44:00,"Europe/Amsterdam","Walking",14
"47",2019-07-17 19:14:00,2019-07-17 19:27:00,"Europe/Amsterdam","Walking",13
"48",2019-07-17 19:59:00,2019-07-17 20:21:00,"Europe/Amsterdam","Walking",22
"49",2019-07-18 06:11:00,2019-07-18 06:15:00,"Europe/Amsterdam","Walking",4
"50",2019-07-21 09:02:00,2019-07-21 09:19:00,"Europe/Amsterdam","Running",17
"51",2019-07-23 08:38:00,2019-07-23 08:56:00,"Europe/Amsterdam","Running",18
"52",2019-07-24 07:43:00,2019-07-24 07:55:00,"Europe/Amsterdam","Walking",12
"53",2019-07-24 18:37:00,2019-07-24 18:55:00,"Europe/Amsterdam","Walking",18
"54",2019-07-26 10:41:00,2019-07-26 10:53:00,"Europe/Amsterdam","Walking",12
"55",2019-07-26 10:54:00,2019-07-26 11:01:00,"Europe/Amsterdam","Running",7
"56",2019-07-26 12:00:00,2019-07-26 12:40:00,"Europe/Amsterdam","Cycling",40
"57",2019-07-29 09:27:00,2019-07-29 09:37:00,"Europe/Amsterdam","Walking",10
"58",2019-08-14 20:37:00,2019-08-14 20:55:00,"Europe/Amsterdam","Walking",18
"59",2019-08-15 19:41:00,2019-08-15 19:58:00,"Europe/Amsterdam","Walking",17
"60",2019-08-16 07:15:00,2019-08-16 07:19:00,"Europe/Amsterdam","Walking",4
"61",2019-08-16 07:20:00,2019-08-16 07:25:00,"Europe/Amsterdam","Running",5
"62",2019-08-19 10:24:00,2019-08-19 10:33:00,"Europe/Amsterdam","Walking",9
"63",2019-08-19 13:52:00,2019-08-19 14:19:00,"Europe/Amsterdam","Walking",27
"64",2019-08-20 19:43:00,2019-08-20 19:48:00,"Europe/Amsterdam","Walking",5
"65",2019-08-21 14:16:00,2019-08-21 14:24:00,"Europe/Amsterdam","Walking",8
"66",2019-08-21 15:02:00,2019-08-21 15:13:00,"Europe/Amsterdam","Walking",11
"67",2019-08-22 09:21:00,2019-08-22 09:38:00,"Europe/Amsterdam","Walking",17
"68",2019-08-22 14:25:00,2019-08-22 14:44:00,"Europe/Amsterdam","Walking",19
"69",2019-08-23 19:29:00,2019-08-23 19:49:00,"Europe/Amsterdam","Walking",20
"70",2019-08-26 09:22:00,2019-08-26 09:54:00,"Europe/Amsterdam","Walking",32
"71",2019-08-26 13:15:00,2019-08-26 13:31:00,"Europe/Amsterdam","Walking",16
"72",2019-08-27 08:11:00,2019-08-27 08:23:00,"Europe/Amsterdam","Running",12
"73",2019-08-29 20:36:00,2019-08-29 21:06:00,"Europe/Amsterdam","Walking",30
"74",2019-08-30 07:23:00,2019-08-30 07:27:00,"Europe/Amsterdam","Walking",4
"75",2019-08-30 07:28:00,2019-08-30 07:43:00,"Europe/Amsterdam","Running",15
"76",2019-08-30 08:52:00,2019-08-30 09:14:00,"Europe/Amsterdam","Walking",22
"77",2019-08-30 13:16:00,2019-08-30 13:21:00,"Europe/Amsterdam","Walking",5
"78",2019-08-30 13:27:00,2019-08-30 13:31:00,"Europe/Amsterdam","Walking",4
"79",2019-08-30 13:45:00,2019-08-30 14:12:00,"Europe/Amsterdam","Walking",27
"80",2019-09-01 09:09:00,2019-09-01 09:14:00,"Europe/Amsterdam","Walking",5
"81",2019-09-01 09:15:00,2019-09-01 09:19:00,"Europe/Amsterdam","Running",4
"82",2019-09-02 08:04:00,2019-09-02 08:23:00,"Europe/Amsterdam","Running",19
"83",2019-09-03 09:22:00,2019-09-03 09:38:00,"Europe/Amsterdam","Walking",16
"84",2019-09-03 14:06:00,2019-09-03 14:10:00,"Europe/Amsterdam","Walking",4
"85",2019-09-04 18:14:00,2019-09-04 18:21:00,"Europe/Amsterdam","Walking",7
"86",2019-09-20 07:00:00,2019-09-20 07:20:00,"Europe/Amsterdam","Pilates",20
"87",2019-09-20 08:30:00,2019-09-20 08:45:00,"Europe/Amsterdam","Cycling",15
"88",2019-09-20 09:52:00,2019-09-20 10:21:00,"Europe/Amsterdam","Walking",29
"89",2019-09-20 13:56:00,2019-09-20 14:29:00,"Europe/Amsterdam","Walking",33
"90",2019-09-20 15:00:00,2019-09-20 15:20:00,"Europe/Amsterdam","Cycling",20
"91",2019-09-25 08:55:00,2019-09-25 09:08:00,"Europe/Amsterdam","Walking",13
"92",2019-09-25 18:58:00,2019-09-25 19:11:00,"Europe/Amsterdam","Walking",13
"93",2019-09-28 08:15:00,2019-09-28 08:32:00,"Europe/Amsterdam","Running",17
"94",2019-09-28 08:33:00,2019-09-28 08:42:00,"Europe/Amsterdam","Walking",9
